Location_City,Location_District,Listing_Date,Square_Footage,Bedrooms,Bathrooms,Year_Built,Build_Quality_Rating,Market_Trend_Index,Sale_Price_GBP,Agent_Commission_Percentage,Days_On_Market,Revenue_GBP_Monthly,Listing_Year,Listing_Month,Days_Since_Listed,Log_Sale_Price,Property_Age,Property_Type_FreqEnc,Transaction_Type_FreqEnc,Revenue_Activity_FreqEnc
0,21,2024-04-04,535,4,2,1991,1,1.08,397091.4,2.07,49,684.98,2024,4,510,12.891924278180214,33,0.3285,0.6942,0.6942
0,25,2020-08-20,3760,2,1,2006,1,0.85,1708043.02,2.3,105,118517.69,2020,8,1833,14.350859425832262,14,0.3341,0.3058,0.1044
1,7,2022-07-07,3038,1,1,1966,6,1.1,1951322.16,2.38,35,3870.12,2022,7,1147,14.484018244023057,56,0.3285,0.6942,0.6942
2,16,2020-03-13,2943,3,1,1977,4,0.93,1695932.42,1.94,74,111895.23,2020,3,1993,14.343743837487935,43,0.3374,0.3058,0.1044
2,16,2024-01-17,3284,3,2,1976,2,1.09,1478518.07,1.88,111,2316.34,2024,1,588,14.20655151639913,48,0.3374,0.6942,0.6942
1,0,2018-07-07,3487,5,5,1959,8,1.0,1499237.27,2.06,167,2573.69,2018,7,2608,14.220467717088193,59,0.3374,0.6942,0.6942
2,9,2021-08-18,3874,1,1,1967,4,1.13,2315188.34,2.64,27,5093.41,2021,8,1470,14.65500203049492,54,0.3341,0.6942,0.6942
1,23,2018-08-21,2080,1,1,2012,4,0.98,704303.12,1.44,101,845.16,2018,8,2563,13.464965530496315,6,0.3285,0.6942,0.6942
0,25,2020-02-11,736,5,1,1953,9,1.02,507939.7,1.82,133,770.38,2020,2,2024,13.13811998746341,67,0.3285,0.6942,0.6942
0,20,2023-04-17,807,2,1,2023,5,1.15,591900.72,2.2,173,25752.57,2023,4,863,13.29109588657086,0,0.3341,0.3058,0.1044
1,19,2019-04-23,944,3,1,1991,2,0.98,608819.8,2.4,178,1217.64,2019,4,2318,13.3192792505176,28,0.3341,0.6942,0.6942
1,12,2021-03-29,1052,1,1,1961,6,0.89,488081.91,2.21,130,31551.54,2021,3,1612,13.098240567945314,60,0.3285,0.3058,0.1044
2,24,2020-02-25,1176,1,1,1975,8,0.99,583705.93,2.49,12,1211.19,2020,2,2010,13.277154303658667,45,0.3341,0.6942,0.6942
2,26,2019-09-06,1555,4,4,1984,4,1.01,735015.95,1.44,130,882.02,2019,9,2182,13.507648839153557,35,0.3285,0.6942,0.6942
1,19,2025-06-07,2679,3,3,1980,5,1.11,1430363.08,2.27,129,2705.77,2025,6,81,14.173439571229256,45,0.3341,0.6942,0.6942
1,28,2025-06-27,2496,2,1,1984,6,1.11,1051041.2,2.35,120,55564.36,2025,6,61,13.865292801288975,41,0.3285,0.3058,0.0995
2,16,2022-06-25,1502,1,1,1992,1,1.06,663942.35,1.59,96,879.72,2022,6,1159,13.40595210855387,30,0.3374,0.6942,0.6942
2,6,2021-06-03,1046,1,1,1950,5,0.93,514269.73,1.6,111,32521.98,2021,6,1546,13.150505117835449,71,0.3285,0.3058,0.0995
1,8,2019-10-18,3702,2,2,1950,10,1.0,1967973.82,2.02,150,82999.97,2019,10,2140,14.492515561797035,69,0.3341,0.3058,0.1019
1,28,2021-05-03,1136,5,2,1971,1,0.87,387535.53,1.5,24,19659.3,2021,5,1577,12.867565394300053,50,0.3341,0.3058,0.1044
1,14,2021-10-24,3640,2,2,1996,4,1.14,2984740.58,1.45,154,3606.56,2021,10,1403,14.909023728196871,25,0.3341,0.6942,0.6942
0,1,2018-08-12,1005,2,1,1967,4,0.99,555791.06,2.16,133,1000.42,2018,8,2572,13.228149510474212,51,0.3374,0.6942,0.6942
0,20,2020-10-01,3277,2,1,1975,10,0.86,1969174.92,1.35,143,89799.95,2020,10,1791,14.493125698475348,45,0.3374,0.3058,0.0995
2,26,2024-10-26,2873,3,1,1972,4,1.1,1749723.97,1.31,157,47150.56,2024,10,305,14.37496917354877,52,0.3341,0.3058,0.1019
0,25,2019-01-19,531,3,2,1989,5,1.0,390257.01,1.57,14,510.59,2019,1,2412,12.87456336347133,30,0.3341,0.6942,0.6942
0,15,2022-09-23,1768,1,1,2012,5,1.1,913936.95,2.93,104,2231.53,2022,9,1069,13.725517959729139,10,0.3285,0.6942,0.6942
2,24,2020-01-28,1846,5,4,1953,4,1.01,1437617.99,2.07,102,49438.08,2020,1,2038,14.178498823880101,67,0.3285,0.3058,0.1019
0,25,2024-03-10,1313,1,1,2000,8,1.1,574644.21,2.86,150,44446.06,2024,3,535,13.261508103253593,24,0.3374,0.3058,0.1019
1,12,2021-08-09,3368,3,1,1980,6,1.1,2195730.57,1.74,10,3183.81,2021,8,1479,14.602025838256719,41,0.3285,0.6942,0.6942
1,19,2023-05-13,3580,1,1,1979,5,1.13,2474088.18,1.26,38,2597.79,2023,5,837,14.721382878172529,44,0.3285,0.6942,0.6942
0,20,2019-08-22,992,4,4,1995,10,0.99,643369.06,2.89,33,1549.45,2019,8,2197,13.374475358666398,24,0.3285,0.6942,0.6942
2,24,2018-06-19,1188,4,3,1959,7,0.99,688326.83,2.91,139,1669.19,2018,6,2626,13.442020500519813,59,0.3374,0.6942,0.6942
2,9,2020-03-05,1442,2,1,1975,7,0.86,486839.85,1.56,110,632.89,2020,3,2001,13.095692551940465,45,0.3374,0.6942,0.6942
2,26,2020-10-27,3891,1,1,2010,2,0.88,1405773.17,2.94,156,3444.14,2020,10,1765,14.156098719675498,10,0.3285,0.6942,0.6942
2,9,2019-12-06,502,4,4,1995,2,0.98,354945.33,1.48,71,14272.66,2019,12,2091,12.779721873929645,24,0.3285,0.3058,0.1044
0,20,2023-03-20,1681,3,1,2008,9,1.13,1352513.59,2.7,27,3043.16,2023,3,891,14.117476077075274,15,0.3285,0.6942,0.6942
1,22,2018-12-17,3024,2,2,2000,2,1.0,1351305.64,2.76,43,3108.0,2018,12,2445,14.11658256380083,18,0.3285,0.6942,0.6942
0,21,2021-05-02,3103,2,2,1985,7,0.94,1617490.39,1.58,132,2129.7,2021,5,1578,14.29638698231366,36,0.3374,0.6942,0.6942
0,1,2022-06-23,1872,5,1,2014,2,1.14,887488.82,1.85,154,1368.21,2022,6,1161,13.696152329843386,8,0.3374,0.6942,0.6942
1,10,2025-01-27,3380,2,1,2016,6,1.1,1330345.73,1.16,59,104447.38,2025,1,212,14.100950165469913,9,0.3285,0.3058,0.0995
0,11,2023-07-08,1208,2,2,2001,7,1.12,727219.63,2.39,148,1448.38,2023,7,781,13.49698519052992,22,0.3374,0.6942,0.6942
0,25,2019-10-26,2586,1,1,1979,1,0.99,1258529.47,1.42,39,67693.42,2019,10,2132,14.04545530462715,40,0.3341,0.3058,0.1044
2,16,2024-03-12,507,3,2,1978,10,1.12,383471.96,2.19,56,10597.26,2024,3,533,12.857024388829032,46,0.3374,0.3058,0.1019
1,2,2022-03-29,1500,4,1,1997,2,1.15,1003494.74,1.55,115,32288.56,2022,3,1247,13.819000202067516,25,0.3341,0.3058,0.1044
0,15,2021-12-12,3617,3,3,1952,5,1.14,2599234.95,2.33,29,101094.42,2021,12,1354,14.770728094420202,69,0.3374,0.3058,0.1044
0,15,2020-07-18,3629,4,4,1966,3,0.95,1391291.97,1.28,101,57498.22,2020,7,1866,14.145744066988913,54,0.3285,0.3058,0.1044
0,25,2020-10-12,1412,3,3,2003,10,0.88,802031.8,1.33,75,888.92,2020,10,1780,13.594904783767973,17,0.3374,0.6942,0.6942
2,3,2020-03-24,3992,4,3,2006,10,0.93,2578593.85,1.57,138,99909.86,2020,3,1982,14.762755176749092,14,0.3285,0.3058,0.1019
0,11,2020-04-11,1340,2,2,1965,5,0.9,891479.9,1.06,38,787.47,2020,4,1964,13.700639291490484,55,0.3374,0.6942,0.6942
1,19,2025-02-25,1554,1,1,1960,7,1.14,1026178.61,1.85,21,1582.03,2025,2,183,13.841353347871436,65,0.3285,0.6942,0.6942
1,7,2023-02-04,1426,3,3,1966,8,1.1,740625.62,2.25,23,1388.67,2023,2,935,13.515251890645013,57,0.3341,0.6942,0.6942
2,27,2022-07-16,552,1,1,1964,6,1.08,340000.9,2.55,136,722.5,2022,7,1138,12.736706484812025,58,0.3374,0.6942,0.6942
2,3,2024-12-16,955,5,5,1965,7,1.09,857531.83,1.3,22,928.99,2024,12,254,13.661814743003639,59,0.3374,0.6942,0.6942
0,25,2021-03-12,1729,3,2,1985,4,0.9,997183.18,2.89,153,2401.55,2021,3,1629,13.812690766085321,36,0.3374,0.6942,0.6942
2,6,2021-05-28,2391,4,1,2015,3,0.92,1438673.3,2.94,177,3524.75,2021,5,1552,14.179232622516716,6,0.3285,0.6942,0.6942
2,26,2022-11-29,3487,4,3,1990,6,1.15,2126973.15,1.23,110,2180.15,2022,11,1002,14.57021094084101,32,0.3285,0.6942,0.6942
1,5,2022-06-28,1484,4,2,1979,6,1.13,743318.64,1.21,55,749.51,2022,6,1156,13.51888143307385,43,0.3374,0.6942,0.6942
2,24,2020-12-01,1370,4,3,2009,1,0.85,800149.56,1.46,80,973.52,2020,12,1730,13.592555188942667,11,0.3374,0.6942,0.6942
1,12,2020-10-31,1577,4,3,1998,8,0.92,689814.43,2.51,84,1442.86,2020,10,1761,13.44417934803725,22,0.3374,0.6942,0.6942
2,6,2024-02-21,1024,5,4,2001,3,1.05,717238.22,1.52,167,17208.27,2024,2,553,13.483164704103617,23,0.3374,0.3058,0.1019
1,17,2020-09-25,1222,4,4,1965,4,0.88,1037094.74,2.66,40,27121.74,2020,9,1797,13.851934806961637,55,0.3285,0.3058,0.0995
